id,group,album,First_(lp)_release,release_date,month,Selfdetermination,style,language,Language_2nd,,,,,,,,,City,sex,region
sing113,RapeKit,ClitCult,*,13.03.2019,mar,"porn-grind, downtuned punk",rock,немає,-,,*,*,,,,*,,Київ,male,Центр
sing114,Sheetel,Mr. White,*,21.11.2019,nov,,rock,немає,-,*,*,,,*,*,*,,Київ,male,Центр
sing115,Way Station,The Way of Minstrel,,08.02,feb,Post-rock,rock,немає,-,*,*,*,*,*,*,*,*,Київ,male,Центр
sing116,Andrey Chmut,Smoothability,*,02.07.2019,jul,jazz,jazz,немає,-,*,,,*,,,,,Київ,male,Центр
sing117,Orest Filipov,Unseen World,*,25.02,feb,Jazz,jazz,немає,-,*,,*,*,*,*,*,*,Київ,male,Центр
sing118,Rostyslav Voitko,Above the Crowd,*,09.11.2019,nov,Jazz,jazz,немає,-,*,,,*,*,*,,,Вінниця,male,Центр
sing119,Yuriy Seredin,Asylum Search,*,12.11.2019,nov,Jazz,jazz,немає,-,*,,,*,*,*,*,*,Київ,male,Центр
sing120,Anton Belov,Piano Works I,*,30.11.2019,nov,instrumental,instrumental,немає,-,*,,*,*,*,*,*,*,Київ,male,Центр
sing121,Evgeny Khmara,The Wheel of Life,,23.10.2019,oct,"Instrumental, neo classical music",instrumental,немає,-,*,,,*,*,*,*,*,Київ,male,Центр
sing122,Микола Макєєв,Бобот та енергія всесвіту,,02.11.2019,nov,soundtrack,instrumental,немає,-,*,*,,*,,*,,*,Київ,male,Центр
sing123,Павел Игнатьев,Колокола души,,24.05.2019,may,"modern classic, jazz, improvisations",instrumental,немає,-,*,,,*,*,*,*,*,Київ,male,Центр
sing124,US Orchestra,I,,30.03.2019,mar,traditional,ethno,немає,-,,,*,*,*,*,*,*,Київ,mix,Центр
sing125,BUNHT,OPEN,*,10.08.2019,aug,electronic,electronic,немає,-,,*,,*,*,*,,*,Київ,male,Центр
sing126,Endless Melancholy,Fragments of Scattered Whispers,,09.11.2019,nov,Somewhat Music,electronic,немає,-,*,*,*,*,*,*,*,*,Київ,male,Центр
sing127,Heinali,Iridescent,,12.10.2019,oct,"Ambient, electronic",electronic,немає,-,*,,*,*,,*,*,*,Київ,male,Центр
sing128,King Imagine,Next Nowhere.exe,,08.08.2019,aug,electronic,electronic,немає,-,,,*,,,,,,Київ,male,Центр
sing129,Leftie,Caveman On a Date,,15.05.2019,may,"idm, electronic",electronic,немає,-,*,*,*,*,*,*,*,*,Київ,male,Центр
sing130,Voin Oruwu,Big Space Adventure,*,15.05.2019,may,electronic,electronic,немає,-,,*,,,,,,,Київ,male,Центр
sing131,Woo York,Chasing The Dream,,04.05.2019,may,electronic,electronic,немає,-,*,*,,*,*,*,*,*,Київ,male,Центр
sing132,2sleepy,For The Next Day,,22.11.2019,nov,electronic,electronic,немає,-,*,*,,*,*,*,*,*,Київ Krakow Brooklyn,male,Центр
sing133,Dronny Darko & Apollonius,The Sea of Potentials,*,22.09.2019,sep,dark ambient,electronic,немає,-,,*,*,,,,,,"Київ, Eindhoven",male,Центр
sing134,protoU,Echoes of the Future,,28.08.2019,aug,Drone,avant-garde,немає,-,*,*,*,*,*,,*,*,Київ,female,Центр
sing135,Edward Sol & Stuart Chalmers,Syncopated Soundmirror,,30.07.2019,jul,,avant-garde,немає,-,,,*,,,,,,Київ,male,Центр
sing136,ВОЛОК,Хоровод,,16.05.2019,may,Neo-Folk,avant-garde,немає,-,,,*,,,,,,Сміла,male,Центр
sing137,ВОЛОК,Смертный,,19.09.2019,sep,Neo-Folk,avant-garde,немає,-,,,*,,,,,,Сміла,male,Центр
sing138,Relict Trauma,r∅t∅ release,*,04.03.2019,mar,non-correlationist noise,avant-garde,немає,-,,,*,,,,,,Чернігів / Київ,male,Центр
sing139,Relict Trauma,under the Yellow sign,,27.06.2019,jun,non-correlationist noise,avant-garde,немає,-,,,*,,,,,,Чернігів / Київ,male,Центр
sing140,Fontaliza,Фірмові рухи,,11.10.2019,oct,pop,rock,укр,,*,*,,*,*,*,*,*,Горлівка,male,Схід
sing141,KID - S,Сльози та Вогонь,,04.02,feb,rock/psy pop/experimental,rock,укр,,,,,,,,*,,Дніпро,male,Схід
sing142,SpivOberta,Нові Мости,*,22.08.2019,aug,"Pop, Electronic",pop,укр,,*,*,,*,*,*,*,*,Добропілля,male,Схід
sing143,Кімната Гретхен,Гравітанці,,06.04.2019,apr,indie,pop,укр,,,*,*,*,,,*,,Дніпро,male,Схід
sing144,Сергій Бабкін,Музасфера,,01.10.2019,oct,pop,pop,укр,,*,,,*,*,*,*,*,Харків,male,Схід
sing145,Drudkh,Їм часто сниться капіж,,09.03.2019,mar,Black Metal,metal,укр,,*,,*,*,*,*,*,*,Харків,male,Схід
sing146,Svrm,Лихиї вітри стогнуть без упину,*,15.05.2019,may,,metal,укр,,,,*,*,*,,*,*,Харків,male,Схід
sing147,Діля і Бєкіров,Молескін,*,27.04.2019,apr,pop rock,jazz,укр,eng,*,,,*,*,*,*,*,Харків,male,Схід
sing148,Ведмідь і Вухо,Сороміцькі пісні,*,05.09.2019,sep,rap & hip hop,hip hop & rap,укр,,,*,,,,,*,,Макіївка,male,Схід
sing149,Курган & Agregat,С.Ш.Р.,*,30.04.2019,apr,Hip-Hop/Rap,hip hop & rap,укр,,*,*,,*,*,*,*,*,Близнюки,male,Схід
sing150,ТНМК,7,,23.11.2019,nov,,hip hop & rap,укр,,*,,,*,*,*,*,*,Харків,male,Схід
sing151,Kurs Valüt,Veselo,*,13.11.2019,nov,Синтетичні інсинуації,electronic,укр,,*,,*,*,*,*,*,*,Дніпро,male,Схід
sing152,Soom,Djebars,,20.04.2019,apr,RAVE DOOOM,avant-garde,укр,,*,,*,*,*,,*,*,Харків,male,Схід
sing153,La Horsa Bianca,Somatic Schematic,*,05.10.2019,oct,psychedelic ,avant-garde,укр,,,,*,*,*,*,*,,Харків,mix,Схід
sing154,Человек-Животное,Мощи Олдскула,,27.06.2019,jun,punk rock,rock,рос,,*,*,*,*,*,*,*,,Харків,male,Схід
sing155,Mamanet,Pop,,30.11.2019,nov,pop,pop,рос,eng,*,*,,*,*,,,*,Краматорськ,male,Схід
sing156,Nine Hills,TULPA,*,18.03.2019,mar,,metal,рос,,,*,*,,,,,,Харків,male,Схід
sing157,SINOPTIK,Fields On Fire,,10.04.2019,apr,metal,rock,eng,,*,,*,*,*,*,*,*,Донецьк,male,Схід
sing158,Paul Montero,I GIVE YOU MY,*,26.10.2019,oct,pop,pop,eng,,*,*,,*,*,*,*,*,Дніпро,male,Схід
sing159,Barkasth,Decaying,*,24.06.2019,jun,Black Metal,metal,eng,,,,*,,,,*,,Харків,male,Схід
sing160,Ulvegr,Vargkult,,30.01.2019,jan,HEATHEN BLACK METAL,metal,eng,,,,*,,,,*,,Харків,male,Схід
sing161,Jinjer,Cloud Factory,,16.02,feb,Groove metal,metal,eng,рос,*,*,*,*,*,*,*,*,Донецьк,mix,Схід
sing162,General Sherman,Welcome to Almost There,*,12.09.2019,sep,hip hop,hip hop & rap,eng,,*,*,*,*,*,*,*,*,Дніпро,male,Схід
sing163,Banned society,Candy,,16.03.2019,mar,hip hop,electronic,eng,,*,*,,*,*,*,,*,Дніпро,male,Схід
sing164,Kulakostas,Anxiety,,07.12.2019,dec,neo-garage,electronic,eng,,*,*,,*,*,*,*,*,Донецьк,male,Схід
sing165,Dark Side Trio,Old Bookcase,*,13.03.2019,mar,jazz,jazz,немає,-,*,,*,*,*,*,*,*,Дніпро,male,Схід
sing166,The Orchestra Of Mirrored Reflections,Narrow Escape,,25.04.2019,apr,Dark Jazz,jazz,немає,-,,,*,,,,,,Дніпро,mix,Схід
sing167,Monotronique,Heat Absorber,*,07.11.2019,nov,Electronica,electronic,немає,-,*,*,*,*,*,*,*,*,Харків,male,Схід
sing168,CHSZM,Love,,16.04.2019,apr,"experimental, avant-garde",avant-garde,немає,-,,*,*,,,,*,,Слов'янськ,male,Схід
sing169,Gamardah Fungus,Crossing The Wasteland,,01.11.2019,nov,Ambient / Drone / Noir,avant-garde,немає,-,,*,*,*,*,*,*,*,Дніпро,male,Схід
sing170,Хамерман Знищує Віруси,Лой,,10.06,jun,"punk,cabaret,synthpop ",avant-garde,рос,укр,*,,*,*,*,*,*,*,Суми,male,Північ
sing171,Keepleer 18,Relictum,,03.04.2019,apr,Sludge,metal,дивно,,,,*,,,,*,,Чернігів,male,Північ
sing172,Vakula,Metaphors,,26.02,feb,electronic,electronic,немає,-,,*,,,,,*,,Конотоп,male,Північ
sing173,Foa Hoka,Fon - Fonogram - Fonissimon,,30.12.2019,dec,experimental,avant-garde,немає,-,,,*,,,,,,Чернігів,male,Північ
sing174,Relict Trauma,r∅t∅ release,*,04.03.2019,mar,non-correlationist noise,avant-garde,немає,-,,,*,,,,,,Чернігів / Київ,male,Північ
sing175,Relict Trauma,under the Yellow sign,,27.06.2019,jun,non-correlationist noise,avant-garde,немає,-,,,*,,,,,,Чернігів / Київ,male,Північ
sing176,Нумер 482,ДРУ,,16.11.2019,nov,pop,rock,укр,,*,,,*,*,*,*,*,Одеса,male,Південь
sing177,The Nietzsche,Live 201,,01.04.2019,apr,Chaotic Hardcore/Mathcore,metal,укр,,,*,*,,,,,,Одеса,male,Південь
sing178,Елена Войнаровская,Метеозависимость,,08.09.2019,sep,art-rock,rock,рос,,*,*,*,*,*,*,*,*,Одеса,female,Південь
sing179,Transильванія,Dance Elements,,16.11.2019,nov,rock,rock,рос,eng,,*,,*,,,*,*,Одеса,male,Південь
sing180,Yotsuya Kaidan,Крошка​-​комета,*,25.05.2019,may,,rock,рос,,*,*,*,*,*,*,*,*,Одеса,male,Південь
sing181,Pulatova,Рой,*,29.09.2019,sep,rock,rock,рос,,*,*,*,*,*,*,*,*,Одеса,mix,Південь
sing182,вышел покурить,никогда,,25.09.2019,sep,hip hop,hip hop & rap,рос,,*,*,,*,*,*,*,*,Одеса,male,Південь
sing183,Need Some Air,Generation,*,04.05.2019,may,Rock,rock,eng,,*,,,*,*,,*,*,Херсон,male,Південь
sing184,Numero Nero,Late,*,09.10.2019,oct,Fast and emotional punk rock band,rock,eng,,*,*,*,*,*,*,*,*,Запоріжжя,male,Південь
sing185,Cuckoo's Nest,tales of human being,,01.11.2019,nov,Atmospheric / Post Black Metal,metal,eng,,,,*,,,,,,Миколаїв,male,Південь
sing186,Heartprints,See It All,*,09.05.2019,may,metal,metal,eng,,,*,,*,*,*,*,*,Запоріжжя,male,Південь
sing187,THE INFESTATION,Fractal Delusion,,31.03.2019,mar,Death Metal / Deathcore / Electronic,metal,eng,,,*,*,*,*,*,*,,Миколаїв,male,Південь
sing188,Mizantropia,Out of mind,,31.08.2019,aug,extreme gothic/dark metal,metal,eng,,*,,,*,*,,*,*,Запоріжжя,mix,Південь
sing189,JULINOZA,The Conductor of Imagination,,23.04.2019,apr,"jazz, blues",jazz,eng,рос,*,*,,*,*,*,*,*,Одеса,mix,Південь
sing190,JULINOZA,I Am Riff,,03.07,jul,breakbeat,jazz,eng,"рос, укр",*,*,,*,*,*,*,,Одеса,mix,Південь
sing191,PRID PROD,Приехали,,11.05.2019,may,rap,hip hop & rap,eng,"укр, рос",,,*,*,*,,*,*,Херсон,male,Південь
sing192,Satisfaction,"Satisfaction, Vol. 1",,26.08.2019,aug,Rock,rock,рос,,*,,,*,*,,*,*,,male,інше
sing193,Nooit,OA​-​I,*,13.03.2019,mar,noise,avant-garde,немає,-,,,*,,,,*,,,інше,інше
sing194,Troye Zillia,Paradise Birds,,04.01.2019,jan,world music,ethno,укр,,,,,*,,,*,,Львів,mix,Захід
sing195,Беz Обмежень,Буду з тобою!,,18.04.2019,apr,rock,rock,укр,,*,,,*,*,*,*,*,Мукачево,male,Захід
