"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"Kulakostas","Anxiety","sing156","","07.12.2019","dec","neo-garage","electronic","англійська","","*","*","","*","*","*","*","*","Донецьк","чоловіча","Схід",NA,NA,"","","https://geo-static.traxsource.com/files/images/86717c070efe4faa8b3f683083347f0f.jpg",20242,"https://www.facebook.com/kulakostas/","https://soundcloud.com/kulakostas/sets/anxiety?fbclid=IwAR2uKeKPq19EzIZWyXcpjV55VtDtYkhZNoh9WEp-bCrnho9V-oUV6IGNDzQ","","усі альбоми"
"Kurs Valüt","Veselo","sing157","*","13.11.2019","nov","Синтетичні інсинуації","electronic","українська","","*","","*","*","*","*","*","*","Дніпро","чоловіча","Центр",1,NA,"Veselo","Kurs_Valut_Veselo.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/news/a1880907266_10.jpg",20243,"https://www.facebook.com/gurtkursvalut/","https://pincet.bandcamp.com/album/veselo?fbclid=IwAR2uq0kFNmROvXrnlNv1JxJMKryzeyq7hnIJ4pDkQH7Hlt2QvKEau2QIhAE","yes","усі альбоми"
"Kyiv Ethno Trio","Kyiv Ethno Trio","sing158","*","25.10.2019","oct","Folk, world music, ethno","ethno","українська","","*","*","","*","*","*","","*","Київ","чоловіча","Київ",NA,NA,"","","https://images-na.ssl-images-amazon.com/images/I/51d-MIuAB5L._SS500.jpg",20358,"https://www.facebook.com/KyivEthnoTrio/","https://soundcloud.com/kyivethnotrio/sets/album","","усі альбоми"
"La Horsa Bianca","Somatic Schematic","sing159","*","05.10.2019","oct","psychedelic ","avant-garde","українська","","","","*","*","*","*","*","","Харків","мікс","Схід",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a2524263620_10.jpg",20244,"https://www.facebook.com/lahorsabianca","https://lahorsabianca.bandcamp.com/album/somatic-schematic","","усі альбоми"
"LATEXFAUNA","Ajahuaska","sing160","","11.05.2019","may","indie pop","indie","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Australia","Latexfauna_Australia.mp3","https://images.genius.com/18bec85e198cec2eea3869cfaea3ce85.600x600x1.jpg",20245,"https://www.facebook.com/latexfauna/","https://www.deezer.com/en/album/62151552","yes","усі альбоми"
"LAUD","Музика","sing161","*","23.10.2019","oct","","pop","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg",20246,"https://www.facebook.com/laudenjoy/?ref=br_rs","https://soundcloud.com/enjoylaud/sets/music","yes","усі альбоми"
"Leftie","Caveman On a Date","sing162","","15.05.2019","may","idm, electronic","electronic","немає","","*","*","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","http://freake.ru/uploads/music/2018-05/1527011706-6648.jpg",20369,"","https://itunes.apple.com/us/album/caveman-on-a-date/1387553958?fbclid=IwAR2p7qCSuwXFQKm0fiDK_KURy4C7KfBK3wSkjJCpSEUOZGu0PlTZgiMuM4g","","усі альбоми"
"LemOjOviE","We Do","sing163","*","22.02","feb","Funk, Soul, Nu Disco, Hip-Hop","hip hop & rap","мікс","eng","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","http://freake.ru/uploads/music/2018-02/350-1519212829-5444.jpg",20247,"https://www.facebook.com/lemojovie/","https://itunes.apple.com/ua/album/we-do/1340996107?l=ru","","усі альбоми"
"Lutomysl","Ecce Homo","sing164","","14.12.2019","dec","Black Metal","metal","українська","","","","*","","","","*","","Житомир","чоловіча","Північ",NA,NA,"","","https://f4.bcbits.com/img/a0068071196_16.jpg",20248,"https://www.facebook.com/Lutomysl/","https://lutomysl.bandcamp.com/album/ecce-homo","","усі альбоми"
"Lyudska Podoba","Volnydorozhkibarashki","sing165","*","28.09.2019","sep","Experimental electronic pop","avant-garde","специфічна","","*","*","*","*","*","*","*","*","Київ","мікс","Київ",1,NA,"Illuzii Svoi","Lyudska_Podoba_Illuzii_Svoi.mp3","https://f4.bcbits.com/img/a3570139740_16.jpg",20249,"https://www.facebook.com/LyudskaPodoba/","https://itunes.apple.com/ua/album/volnydorozhkibarashki/1437747002?i=1437747225","yes","усі альбоми"
"Mamanet","Pop","sing166","","30.11.2019","nov","pop","pop","мікс","eng","*","*","","*","*","","","*","Краматорськ","чоловіча","Схід",NA,NA,"","","https://i1.sndcdn.com/artworks-000450082899-0i4cdj-t500x500.jpg",20356,"https://www.facebook.com/mamanetgroup/","https://itunes.apple.com/us/album/pop/1444229935","","усі альбоми"
"Marakesh","Новый День","sing167","","19.05.2019","may","Rock","rock","російська","","*","*","*","*","*","*","*","*","Berlin","чоловіча","Закордон",NA,NA,"","","https://f4.bcbits.com/img/a2935581704_10.jpg",20250,"https://www.facebook.com/marakeshmusic/","https://soundcloud.com/marakeshband/sets/newday","","усі альбоми"
"MARU","POMPIDOU","sing168","","02.10.2019","oct","","indie","мікс","eng","*","","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","http://rs.img.com.ua/crop?v2=1&w=600&h=0&url=%2F%2Fv.img.com.ua%2Fb%2Forig%2Fd%2F96%2F8e044e50428218d298cb99d50e80e96d.jpg",20251,"https://www.facebook.com/MARU.MUSIC.UA/?fref=mentions&__xts__%5b0%5d=68.ARCLzQYi7LpgP0kct6z5022-_hhTsDzV6-1I8ajiIsJg6RAgXnU0DpBgu-cVnbgsXHPr91zn6MYRpEns4p6qJw-0s_fIwxBZBl0MAEh1inKDDQ1Dm3hAa89qp-XAmAvqBXWXac6I2hAk217AzUyHhlFidqbrtDwRKQIhaNE65qxFoalxgUjj9g&__tn__=K-R","https://itunes.apple.com/us/album/pompidou/1435544630?app=itunes&ign-mpt=uo%3D4","","усі альбоми"
"MARUV","Black Water","sing169","*","28.09.2019","sep","dance","pop","мікс"," укр","*","","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://mexedi.net/uploads/Maruv_-_black.jpg",20357,"https://www.facebook.com/MaruvOfficial/","https://itunes.apple.com/ua/album/black-water/1434881391","","усі альбоми"
